This is a guide for how best to varnish any material/weapon
combination.

Key

0 /* nothing */
1 /* Clown card, Sharp Claw item */
2 /* Cleric card, Giants Horn item */
3 /* Volcan card, Scissor item */
4 /* Poison Fang item */
5 /* Clear Feather item */
6 /* Dragon's Breath item */
7 /* Wicked Eye/Spade Basil/Rhinoloupe item */
8 /* Silly Eye/Gold Clover item */

      Hamr 2Axe Sper  Axe 2Swd Knif Flal Staf  Bow Glov Swrd
Anima    1    1    1    1    1    1    1    1    1    1    1
Ivory    1    1    1    1    1    1    1    1    1    1    1
Curse    1    1    1    1    1    1    1    1    1    1    1
Fossi    1    1    1    1    1    1    1    1    1    1    1
Toppl    1    1    1    1    1    1   40b   1    1   40b   1
Sulta    1    1    1    1    1    1   40b   1    1   40b   1
JuddH    1    1    1    1    1    1   40b   1    1   40b   1
Alten    1    1    1    1    1    1   40b   1    1   40b   1
Jacob    1    1    1    1    1    1    1    1    1    1    1
Halle    1    1    1    1    1    1    1    1    1    1    1
AnkhR    1    1    1    1    1    1    1    1    1    1    1
Vinek    1    1    1    1    1    1    1    1    1    1    1
Tuttl    1    1    1    1    1    1    1    1    1    1    1
Nemes    1    1    1    1    1    1    1    1    1    1    1
Biell    1    1    1    1    1    1    1    1    1    1    1
Swift    4a   1    1    1    1    1    1    1    1    1    1
Adama    1    3a   1    1    2d   1    1    1    1    1    2d
FullM    1    1    1    1    1    1    1    1    1    1    1
Coral    1    1    1    1    1    1    1    1    1    1    1
Torto    1    1    1    1    1    1    1    1    1    1    1
Shell    1    1    1    1    1    1    1    1    1    1    1
Emera    1    1    1    1    3b   1    1    1    1    1    3b
Pearl    1    1    1    1    3b   1    1    1    1    1    3b
Lapis    1    1    1    1    3b   1    1    1    1    1    3b

a. multiple ways to arrange the cards.
b. equal material values.
c. 2222 or 2228
d. 1116 or 1117
